Policy,Quantity logic,Firm,P(pass),P(breach),Median days,P(pass <=10d),P(pass <=14d),P(pass <=20d),Expected attempts,Expected eval cost,p90 days,governor,daily_stop,streak,approach
Q2_FIXED__APPR_REDUCE,n=2 a=2 d=2,FUNDEDNEXT_FLEX_50K,0.49,0.51,13.0,0.3510204081632653,0.5926530612244898,0.8293877551020408,2.0408163265306123,142.83673469387753,25.0,none,none,none,REDUCE
Q2_FIXED__APPR_SKIP,n=2 a=2 d=2,FUNDEDNEXT_FLEX_50K,0.2068,0.4808,11.0,0.48549323017408125,0.6808510638297872,0.8781431334622823,4.835589941972921,338.4429400386847,22.0,none,none,none,SKIP
Q3_FIXED__APPR_REDUCE,n=3 a=3 d=3,FUNDEDNEXT_FLEX_50K,0.4184,0.5816,11.0,0.47418738049713194,0.6682600382409177,0.8260038240917782,2.390057361376673,167.28011472275335,25.0,none,none,none,REDUCE
Q3_FIXED__APPR_SKIP,n=3 a=3 d=3,FUNDEDNEXT_FLEX_50K,0.1336,0.5116,6.0,0.8952095808383234,0.9580838323353293,0.9970059880239521,7.485029940119761,548.7275449101796,11.0,none,none,none,SKIP
Q2_DEF50__APPR_REDUCE,n=2 a=2 d=1,FUNDEDNEXT_FLEX_50K,0.4932,0.5068,14.0,0.29683698296836986,0.505271695052717,0.7055961070559611,2.02757502027575,141.90997566909974,32.0,none,none,none,REDUCE
Q2_DEF50__APPR_SKIP,n=2 a=2 d=1,FUNDEDNEXT_FLEX_50K,0.1924,0.4732,12.0,0.4095634095634096,0.577962577962578,0.7837837837837838,5.197505197505198,365.7484407484407,30.0,none,none,none,SKIP
Q1_ACCEL2_C70__APPR_REDUCE,n=1 a=2 d=1,FUNDEDNEXT_FLEX_50K,0.5684,0.4316,24.0,0.14215341308937368,0.24630541871921183,0.41168191414496835,1.7593244194229416,123.13511611541168,53.0,none,none,none,REDUCE
Q1_ACCEL2_C70__APPR_SKIP,n=1 a=2 d=1,FUNDEDNEXT_FLEX_50K,0.2212,0.4188,21.0,0.2314647377938517,0.3453887884267631,0.488245931283906,4.520795660036166,316.4104882459312,51.0,none,none,none,SKIP
Q2_ACCEL3_DEF40__APPR_REDUCE,n=2 a=3 d=1,FUNDEDNEXT_FLEX_50K,0.4568,0.5432,13.0,0.37915936952714535,0.5665499124343257,0.7653239929947461,2.189141856392294,153.21803852889667,29.90000000000009,none,none,none,REDUCE
Q2_ACCEL3_DEF40__APPR_SKIP,n=2 a=3 d=1,FUNDEDNEXT_FLEX_50K,0.1576,0.5084,9.0,0.5786802030456852,0.7614213197969543,0.883248730964467,6.34517766497462,457.5507614213198,22.0,none,none,none,SKIP
Q1_FIXED,n=1 a=1 d=1,MFFU_RAPID_EOD_50K,0.708,0.292,55.0,0.0,0.005084745762711864,0.03785310734463277,1.4124293785310735,,101.10000000000014,none,none,none,NONE
Q2_FIXED,n=2 a=2 d=2,MFFU_RAPID_EOD_50K,0.5384,0.4616,17.0,0.19465081723625557,0.38558692421991086,0.6300148588410104,1.8573551263001487,,33.0,none,none,none,NONE
Q3_FIXED,n=3 a=3 d=3,MFFU_RAPID_EOD_50K,0.3936,0.6064,11.0,0.45121951219512196,0.6869918699186992,0.8821138211382114,2.540650406504065,,22.0,none,none,none,NONE
Q4_FIXED,n=4 a=4 d=2,MFFU_RAPID_EOD_50K,0.2732,0.7268,9.0,0.5929721815519766,0.8316251830161054,0.9736456808199122,3.6603221083455346,,17.0,none,none,none,NONE
Q1_ACCEL2_C70,n=1 a=2 d=1,MFFU_RAPID_EOD_50K,0.6428,0.3572,35.0,0.08089607965152458,0.15868077162414437,0.26757934038581205,1.5556938394523956,,79.0,none,none,none,NONE
Q1_ACCEL2_C80_P200,n=1 a=2 d=1,MFFU_RAPID_EOD_50K,0.672,0.3276,38.0,0.0625,0.11964285714285715,0.22142857142857142,1.488095238095238,,86.0,none,none,none,NONE
Q1_ACCEL3_C80_P400,n=1 a=3 d=1,MFFU_RAPID_EOD_50K,0.5464,0.4532,36.0,0.07906295754026355,0.14641288433382138,0.2525622254758419,1.8301610541727673,,85.0,none,none,none,NONE
Q2_DEF50,n=2 a=2 d=1,MFFU_RAPID_EOD_50K,0.5732,0.4268,20.0,0.19609211444521982,0.33845080251221216,0.5191905094207956,1.7445917655268666,,46.799999999999955,none,none,none,NONE
Q2_ACCEL3_DEF40,n=2 a=3 d=1,MFFU_RAPID_EOD_50K,0.4456,0.5544,17.0,0.2719928186714542,0.4263913824057451,0.618491921005386,2.244165170556553,,40.0,none,none,none,NONE
Q3_DEF45,n=3 a=3 d=1,MFFU_RAPID_EOD_50K,0.3768,0.6232,12.0,0.43736730360934184,0.5944798301486199,0.7473460721868365,2.653927813163482,,29.0,none,none,none,NONE
