strategy,source_path,instrument,trading_date,entry_ts,exit_ts,entry_time,exit_time,direction,outcome,r_multiple,pnl_R,points,gross_pnl,net_pnl,win_loss,holding_time,mae,mfe,mae_r,mfe_r,risk_points,stop,target,fees_slippage_assumption,session_day,news_blackout,frozen_status,hit_2r_mfe,stop_hit_flag
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-08-28,1756399500,1756399500,2025-08-28T16:45:00Z,2025-08-28T16:45:00Z,bearish,TARGET_HIT,1.8822566979338224,1.8822566979338224,2.238054590677493,UNAVAILABLE,22.38054590677493,WIN,0.0,0.4890272953389285,2.7109727046613443,0.41128348966926587,2.2799919861293048,1.1890272953387466,3447.5,3443.9329181139838,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-08-28,False,TARGET_2R_HIT,True,False
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-09-02,1756821300,1756821900,2025-09-02T13:55:00Z,2025-09-02T14:05:00Z,bearish,STOP_HIT,-1.0273606901502996,-1.0273606901502996,-5.256829993356987,UNAVAILABLE,-52.56829993356987,LOSS,600.0,7.116829993356987,3.583170006642831,1.390867002147137,0.70027145934001,5.116829993356987,3529.0,3513.649510019929,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-09-02,False,STOP_HIT,False,True
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-09-02,1756823400,1756823400,2025-09-02T14:30:00Z,2025-09-02T14:30:00Z,bearish,STOP_HIT,-1.06209095768429,-1.06209095768429,-2.394756654130688,UNAVAILABLE,-23.94756654130688,LOSS,0.0,7.454756654130506,0.7452433458693122,3.3062355711306934,0.3305205218062158,2.254756654130688,3531.0,3524.235730037608,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-09-02,False,AMBIGUOUS,,False
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-09-02,1756823400,1756824000,2025-09-02T14:30:00Z,2025-09-02T14:40:00Z,bearish,STOP_HIT,-1.0226856406613143,-1.0226856406613143,-6.311304663162573,UNAVAILABLE,-63.11304663162573,LOSS,600.0,13.771304663162482,4.328695336837427,2.231506207328481,0.7014230495985796,6.171304663162573,3538.5,3519.9860860105123,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-09-02,False,STOP_HIT,False,True
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-09-02,1756824600,1756825500,2025-09-02T14:50:00Z,2025-09-02T15:05:00Z,bearish,STOP_HIT,-1.0190998977139776,-1.0190998977139776,-7.46988218557557,UNAVAILABLE,-74.6988218557557,LOSS,900.0,9.129882185575752,0.17011781442442953,1.245570113465451,0.023208806105943055,7.3298821855755705,3550.5,3528.5103534432733,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-09-02,False,STOP_HIT,False,True
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-09-03,1756905300,1756905300,2025-09-03T13:15:00Z,2025-09-03T13:15:00Z,bearish,TARGET_HIT,1.7076160072118463,1.7076160072118463,0.8176447647832538,UNAVAILABLE,8.176447647832537,WIN,0.0,0.37882238239171784,3.621177617608282,0.7911542908657945,7.562674074510025,0.4788223823916269,3593.4,3591.963532852825,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-09-03,False,AMBIGUOUS,True,False
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-09-03,1756909800,1756911000,2025-09-03T14:30:00Z,2025-09-03T14:50:00Z,bearish,TARGET_HIT,1.956160572097266,1.956160572097266,6.246944661349844,UNAVAILABLE,62.46944661349844,WIN,1200.0,1.9934723306751039,9.506527669324896,0.6242334751194776,2.9768623883194083,3.193472330674922,3601.5,3591.9195830079752,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-09-03,False,STOP_HIT,True,True
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-09-03,1756917600,1756917600,2025-09-03T16:40:00Z,2025-09-03T16:40:00Z,bearish,TARGET_HIT,1.8355419940152102,1.8355419940152102,1.5625622943883717,UNAVAILABLE,15.625622943883716,WIN,0.0,0.25128114719427685,1.7487188528057231,0.29517997435100846,2.054220111145986,0.8512811471941859,3604.5,3601.9461565584174,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-09-03,False,STOP_HIT,True,True
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-09-04,1756992600,1756992600,2025-09-04T13:30:00Z,2025-09-04T13:30:00Z,bearish,STOP_HIT,-1.0454461945871956,-1.0454461945871956,-3.2205659587490483,UNAVAILABLE,-32.20565958749048,LOSS,0.0,3.180565958748957,1.11943404125077,1.032461567562253,0.3633858376158088,3.080565958749048,3585.0,3575.758302123753,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-09-04,False,AMBIGUOUS,,False
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-09-05,1757080500,1757080800,2025-09-05T13:55:00Z,2025-09-05T14:00:00Z,bearish,STOP_HIT,-1.0387252251233177,-1.0387252251233177,-3.7552146192612237,UNAVAILABLE,-37.552146192612234,LOSS,300.0,5.315214619261042,1.3847853807387764,1.4702348764973783,0.3830437544042019,3.6152146192612236,3622.3,3611.4543561422165,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-09-05,False,STOP_HIT,False,True
