strategy,source_path,instrument,trading_date,entry_ts,exit_ts,entry_time,exit_time,direction,outcome,r_multiple,pnl_R,points,gross_pnl,net_pnl,win_loss,holding_time,mae,mfe,mae_r,mfe_r,risk_points,stop,target,fees_slippage_assumption,session_day,news_blackout,date,window_days,drawdown_R
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-02,20,3.2810698378962324
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-03,20,3.2107277862012946
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-04,20,3.544513715071628
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-05,20,3.5940556868291056
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-08,20,3.5940556868291056
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-09,20,3.694002830466113
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-10,20,3.6940028304661126
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-11,20,3.8585737232041177
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-12,20,3.8585737232041173
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-15,20,4.544478563558438
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-16,20,5.564990222317114
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17,20,5.564990222317114
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-18,20,5.564990222317114
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-19,20,5.564990222317114
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-22,20,5.564990222317114
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-24,20,5.564990222317114
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-26,20,5.467502794199592
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-31,20,4.44234328553757
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-02,20,4.096873595091003
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-05,20,4.096873595091003
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-06,20,4.096873595091002
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-07,20,4.096873595091003
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-08,20,3.9245180202114716
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-09,20,3.924518020211471
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-12,20,3.9245180202114707
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-13,20,3.8075194183998073
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-14,20,3.8075194183998073
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-16,20,3.1218645917829466
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-19,20,3.3756016469405967
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-20,20,6.5307624160049755
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-21,20,6.557242682817646
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-22,20,7.5798836367609645
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-23,20,7.668147254664374
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-26,20,10.733274494545118
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-27,20,11.642242764055862
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-28,20,11.642242764055862
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-29,20,11.642242764055862
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-30,20,11.642242764055862
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-02,20,11.642242764055862
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-03,20,11.642242764055862
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-04,20,11.642242764055862
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-05,20,11.642242764055862
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-06,20,11.642242764055862
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-09,20,11.642242764055862
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-10,20,11.64224276405586
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-11,20,11.64224276405586
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-12,20,10.612204870688736
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-17,20,10.351650062096187
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-18,20,8.266641117115265
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-19,20,5.111480348050887
