strategy,source_path,instrument,trading_date,entry_ts,exit_ts,entry_time,exit_time,direction,outcome,r_multiple,pnl_R,points,gross_pnl,net_pnl,win_loss,holding_time,mae,mfe,mae_r,mfe_r,risk_points,stop,target,fees_slippage_assumption,session_day,news_blackout,date,window_days,drawdown_R
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-17,20,6.313125000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-20,20,7.0862500000000015
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-21,20,7.08625
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-22,20,7.138750000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-23,20,8.540000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-24,20,9.469375000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-27,20,9.469375000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-28,20,9.605625000000002
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-29,20,11.398125000000002
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-30,20,11.398125000000002
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-31,20,11.398125000000002
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-03,20,11.398125000000004
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-04,20,9.955625000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-05,20,8.660625000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-06,20,8.660625000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-07,20,8.660625000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-10,20,8.660625000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-11,20,8.660625000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-12,20,8.660625000000001
