strategy,source_path,instrument,trading_date,entry_ts,exit_ts,entry_time,exit_time,direction,outcome,r_multiple,pnl_R,points,gross_pnl,net_pnl,win_loss,holding_time,mae,mfe,mae_r,mfe_r,risk_points,stop,target,fees_slippage_assumption,session_day,news_blackout
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-11-26,1606412100,1606413540,2020-11-26T17:35:00Z,2020-11-26T17:59:00Z,bearish,FORCE_CLOSE,0.03722222222222222,0.03722222222222222,0.6699999999999999,UNAVAILABLE,3.3499999999999996,WIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3637.0,3607.75,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-11-26,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-11-26,1606413000,1606413540,2020-11-26T17:50:00Z,2020-11-26T17:59:00Z,bearish,FORCE_CLOSE,-0.10166666666666667,-0.10166666666666667,-1.83,UNAVAILABLE,-9.15,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3634.5,3605.25,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-11-26,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-11-27,1606496400,1606500840,2020-11-27T17:00:00Z,2020-11-27T18:14:00Z,bearish,FORCE_CLOSE,-0.15722222222222224,-0.15722222222222224,-2.83,UNAVAILABLE,-14.15,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3652.75,3623.5,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-11-27,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-11-27,1606497000,1606500840,2020-11-27T17:10:00Z,2020-11-27T18:14:00Z,bearish,FORCE_CLOSE,-0.2127777777777778,-0.2127777777777778,-3.83,UNAVAILABLE,-19.15,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3651.75,3622.5,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-11-27,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-11-30,1606751400,1606766220,2020-11-30T15:50:00Z,2020-11-30T19:57:00Z,bearish,STOP_HIT,-1.0322222222222222,-1.0322222222222222,-18.58,UNAVAILABLE,-92.89999999999999,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3619.25,3590.0,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-11-30,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-11-30,1606752000,1606753980,2020-11-30T16:00:00Z,2020-11-30T16:33:00Z,bearish,TARGET_HIT,0.5927777777777777,0.5927777777777777,10.67,UNAVAILABLE,53.35,WIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3627.25,3598.0,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-11-30,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-11-30,1606753500,1606766400,2020-11-30T16:25:00Z,2020-11-30T20:00:00Z,bearish,STOP_HIT,-1.0322222222222222,-1.0322222222222222,-18.58,UNAVAILABLE,-92.89999999999999,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3622.75,3593.5,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-11-30,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-12-01,1606837800,1606839060,2020-12-01T15:50:00Z,2020-12-01T16:11:00Z,bullish,TARGET_HIT,0.4677777777777778,0.4677777777777778,8.42,UNAVAILABLE,42.1,WIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3644.25,3671.25,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-12-01,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-12-01,1606848300,1606856100,2020-12-01T18:45:00Z,2020-12-01T20:55:00Z,bullish,FORCE_CLOSE,-0.435,-0.435,-7.83,UNAVAILABLE,-39.15,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3654.25,3681.25,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-12-01,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-12-01,1606848900,1606856100,2020-12-01T18:55:00Z,2020-12-01T20:55:00Z,bullish,FORCE_CLOSE,-0.3655555555555556,-0.3655555555555556,-6.58,UNAVAILABLE,-32.9,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3653.0,3680.0,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-12-01,False
