bucket,fwd,hit_rate,instrument,label,lookback,mean_abs_signal,mean_signed_fwd,n,side
2,3,0.43866171003717475,ES,Q2,20,0.011544971894484581,-0.0006553558330823187,269,SHORT
3,3,0.4216417910447761,ES,Q3,20,0.021737225810153464,-0.0020254216270308443,268,SHORT
4,3,0.4312267657992565,ES,Q4,20,0.03780791831545041,-0.0025871452983181357,269,SHORT
5,3,0.3754646840148699,ES,Q5_strongest,20,0.0753726771848226,-0.0071844548307974,269,SHORT
1,5,0.6194690265486725,ES,Q1_weakest,20,0.006181596177722577,0.0025624965587478067,565,LONG
2,5,0.6148409893992933,ES,Q2,20,0.016587742596183824,0.0022633693980801603,566,LONG
3,5,0.5823008849557522,ES,Q3,20,0.02658392128398558,0.0008805854470800396,565,LONG
4,5,0.6466431095406361,ES,Q4,20,0.03780588787485135,0.002671056363202888,566,LONG
5,5,0.5954063604240283,ES,Q5_strongest,20,0.06936216626911251,0.0022827441857768,566,LONG
1,5,0.47388059701492535,ES,Q1_weakest,20,0.003695714812762829,-0.000575998033481521,268,SHORT
2,5,0.40892193308550184,ES,Q2,20,0.011544971894484581,-0.002689841869596556,269,SHORT
3,5,0.39552238805970147,ES,Q3,20,0.021737225810153464,-0.005226053514893176,268,SHORT
4,5,0.3754646840148699,ES,Q4,20,0.03780791831545041,-0.005542419642805829,269,SHORT
5,5,0.34572490706319703,ES,Q5_strongest,20,0.0753726771848226,-0.009736116216590108,269,SHORT
1,10,0.624113475177305,ES,Q1_weakest,20,0.006174449845545181,0.004803723318986644,564,LONG
2,10,0.6407079646017699,ES,Q2,20,0.016596941699725445,0.005150740246558098,565,LONG
3,10,0.6371681415929203,ES,Q3,20,0.026615781608488487,0.0029817509358642342,565,LONG
4,10,0.695575221238938,ES,Q4,20,0.03784286768831787,0.005204436532616577,565,LONG
5,10,0.6371681415929203,ES,Q5_strongest,20,0.06940438052755014,0.0033050245617674205,565,LONG
1,10,0.47388059701492535,ES,Q1_weakest,20,0.0037147328933564198,-0.001958373598790792,268,SHORT
2,10,0.35447761194029853,ES,Q2,20,0.011560000713191224,-0.006454219095929621,268,SHORT
