bucket,fwd,hit_rate,instrument,label,lookback,mean_abs_signal,mean_signed_fwd,n,side
5,1,0.5011135857461024,GC,Q5_strongest,10,0.05625913751299551,0.0005394207646140723,449,LONG
1,1,0.48195876288659795,GC,Q1_weakest,10,0.002936918384180865,4.1938851810447445e-05,388,SHORT
2,1,0.4652956298200514,GC,Q2,10,0.009880472435993385,-0.00021567894767147094,389,SHORT
3,1,0.4524421593830334,GC,Q3,10,0.017902246819546642,-0.0006648252961569621,389,SHORT
4,1,0.4498714652956298,GC,Q4,10,0.028129010524173225,-7.5613056694168e-05,389,SHORT
5,1,0.4884318766066838,GC,Q5_strongest,10,0.055495264762196156,-0.0007302515504885128,389,SHORT
1,3,0.4888392857142857,GC,Q1_weakest,10,0.0034748919696242354,0.00010066956985055777,448,LONG
2,3,0.4955357142857143,GC,Q2,10,0.011496101437485296,-0.0003011125005382098,448,LONG
3,3,0.5066964285714286,GC,Q3,10,0.02007830187397509,0.0009475706761355137,448,LONG
4,3,0.5401785714285714,GC,Q4,10,0.030875198843107597,0.0019669597331874317,448,LONG
5,3,0.5189309576837416,GC,Q5_strongest,10,0.05611892179213526,0.0005707855415302232,449,LONG
1,3,0.45103092783505155,GC,Q1_weakest,10,0.002936918384180865,-0.0008790376448889713,388,SHORT
2,3,0.4652956298200514,GC,Q2,10,0.009880472435993385,-0.000999685824562681,389,SHORT
3,3,0.4601542416452442,GC,Q3,10,0.017902246819546642,-0.0005569568207003087,389,SHORT
4,3,0.4704370179948586,GC,Q4,10,0.028129010524173225,-0.0002070165997975848,389,SHORT
5,3,0.4473007712082262,GC,Q5_strongest,10,0.055495264762196156,-0.0019019072649518933,389,SHORT
1,5,0.4899328859060403,GC,Q1_weakest,10,0.00346704378502595,-0.00028495660156982515,447,LONG
2,5,0.5290178571428571,GC,Q2,10,0.011476297709761735,0.0005641483241488604,448,LONG
3,5,0.5334821428571429,GC,Q3,10,0.02005827182003025,0.001545807262914263,448,LONG
4,5,0.578125,GC,Q4,10,0.030846854159570777,0.0038128907020275674,448,LONG
5,5,0.5379464285714286,GC,Q5_strongest,10,0.055966689876660015,0.001456061186103217,448,LONG
1,5,0.4329896907216495,GC,Q1_weakest,10,0.002936918384180865,-0.0018997886644150537,388,SHORT
