bucket,fwd,hit_rate,instrument,label,lookback,mean_abs_signal,mean_signed_fwd,n,side
3,10,0.6641509433962264,NQ,Q3,10,0.023683809469426227,0.007021130271415243,530,LONG
4,10,0.6584905660377358,NQ,Q4,10,0.03503949412341458,0.006424722888128648,530,LONG
5,10,0.6377358490566037,NQ,Q5_strongest,10,0.06193431396599719,0.008043482982490486,530,LONG
1,10,0.3442622950819672,NQ,Q1_weakest,10,0.0036535380940008605,-0.009359126538006069,305,SHORT
2,10,0.39672131147540984,NQ,Q2,10,0.011496928408493447,-0.0056095788545542785,305,SHORT
3,10,0.4,NQ,Q3,10,0.020710914906041156,-0.005944618772719243,305,SHORT
4,10,0.3377049180327869,NQ,Q4,10,0.034828914816724614,-0.011871066114629483,305,SHORT
5,10,0.3475409836065574,NQ,Q5_strongest,10,0.06816468201037985,-0.018390748880665466,305,SHORT
1,1,0.5645161290322581,NQ,Q1_weakest,20,0.0075898049180420524,0.0010512854953843027,558,LONG
2,1,0.510752688172043,NQ,Q2,20,0.021341173378168855,-0.0003999407619762482,558,LONG
3,1,0.5760286225402504,NQ,Q3,20,0.03605549521341514,0.0008717561361873529,559,LONG
4,1,0.6021505376344086,NQ,Q4,20,0.051029409447930205,0.0011795017351892405,558,LONG
5,1,0.5456171735241503,NQ,Q5_strongest,20,0.09008352400084431,0.0006011168625346,559,LONG
1,1,0.4746376811594203,NQ,Q1_weakest,20,0.004444719781500554,0.00018864347842850978,276,SHORT
2,1,0.4404332129963899,NQ,Q2,20,0.015274635871022268,-0.0006355763507928098,277,SHORT
3,1,0.45652173913043476,NQ,Q3,20,0.029171754363441008,3.9034290637920925e-06,276,SHORT
4,1,0.45126353790613716,NQ,Q4,20,0.04824644480043993,-0.0008826143120775232,277,SHORT
5,1,0.3898916967509025,NQ,Q5_strongest,20,0.08734599538090723,-0.00419281331731597,277,SHORT
1,3,0.5878136200716846,NQ,Q1_weakest,20,0.007595068209445215,0.001945581397959123,558,LONG
2,3,0.5645161290322581,NQ,Q2,20,0.021367858412678836,0.0013165235223696293,558,LONG
3,3,0.5967741935483871,NQ,Q3,20,0.03606806274195242,0.0018787043537805402,558,LONG
4,3,0.6111111111111112,NQ,Q4,20,0.051029409447930205,0.0022128667202591544,558,LONG
5,3,0.5957066189624329,NQ,Q5_strongest,20,0.09008352400084431,0.0025893453095142036,559,LONG
1,3,0.39855072463768115,NQ,Q1_weakest,20,0.004444719781500554,-0.0013450518774422977,276,SHORT
2,3,0.43478260869565216,NQ,Q2,20,0.015251775906515653,-0.0017075490300797317,276,SHORT
3,3,0.45126353790613716,NQ,Q3,20,0.029200862872550287,-0.0006605208353881012,277,SHORT
4,3,0.4311594202898551,NQ,Q4,20,0.04828453809958288,-0.002563119424094906,276,SHORT
5,3,0.38267148014440433,NQ,Q5_strongest,20,0.08734599538090723,-0.009580557908620653,277,SHORT
1,5,0.5878136200716846,NQ,Q1_weakest,20,0.007595068209445215,0.0035391066134769886,558,LONG
2,5,0.5860215053763441,NQ,Q2,20,0.021367858412678836,0.0026212756369393326,558,LONG
3,5,0.5931899641577061,NQ,Q3,20,0.03606806274195242,0.0028000540985481737,558,LONG
4,5,0.6272401433691757,NQ,Q4,20,0.051029409447930205,0.003420363719958087,558,LONG
5,5,0.631484794275492,NQ,Q5_strongest,20,0.09008352400084431,0.004251719594534202,559,LONG
1,5,0.39492753623188404,NQ,Q1_weakest,20,0.004444719781500554,-0.002348420626646323,276,SHORT
2,5,0.4311594202898551,NQ,Q2,20,0.015270401260995626,-0.00362508331604625,276,SHORT
3,5,0.4746376811594203,NQ,Q3,20,0.02924563787256992,0.0002074143506581828,276,SHORT
4,5,0.4166666666666667,NQ,Q4,20,0.048360435075346035,-0.005905517975490686,276,SHORT
5,5,0.34057971014492755,NQ,Q5_strongest,20,0.08744896712699739,-0.014110845647493897,276,SHORT
1,10,0.6487455197132617,NQ,Q1_weakest,20,0.007595068209445215,0.008414638878578153,558,LONG
2,10,0.6379928315412187,NQ,Q2,20,0.021367858412678836,0.006551449285676071,558,LONG
3,10,0.6308243727598566,NQ,Q3,20,0.03606806274195242,0.0058500922242756695,558,LONG
4,10,0.6612903225806451,NQ,Q4,20,0.051029409447930205,0.008504125939798936,558,LONG
5,10,0.6135957066189625,NQ,Q5_strongest,20,0.09008352400084431,0.0038495909632614137,559,LONG
1,10,0.3927272727272727,NQ,Q1_weakest,20,0.00443151370238921,-0.005775290406867448,275,SHORT
2,10,0.36727272727272725,NQ,Q2,20,0.015247442770763436,-0.006429221027167072,275,SHORT
3,10,0.3927272727272727,NQ,Q3,20,0.029230796082649314,-0.0063576232286029575,275,SHORT
4,10,0.34545454545454546,NQ,Q4,20,0.048414844648256475,-0.013956713485552493,275,SHORT
5,10,0.3527272727272727,NQ,Q5_strongest,20,0.08755163038004066,-0.01767200699811546,275,SHORT
1,1,0.5569620253164557,NQ,Q1_weakest,60,0.016107238142491445,0.0010022946734819262,632,LONG
2,1,0.5506329113924051,NQ,Q2,60,0.04274124487186108,0.0005987529519194648,632,LONG
3,1,0.5608214849921012,NQ,Q3,60,0.0670289983951177,0.0004879212316741712,633,LONG
4,1,0.5458860759493671,NQ,Q4,60,0.09441263449774244,0.00029022111433272434,632,LONG
5,1,0.5655608214849921,NQ,Q5_strongest,60,0.16751387171777976,0.0004124080823503552,633,LONG
1,1,0.4639175257731959,NQ,Q1_weakest,60,0.006221922395775825,0.00046768504317255035,194,SHORT
2,1,0.441025641025641,NQ,Q2,60,0.01976422326673864,-0.0008721121036037206,195,SHORT
3,1,0.4381443298969072,NQ,Q3,60,0.03893694714501766,-0.000758175376288924,194,SHORT
4,1,0.4205128205128205,NQ,Q4,60,0.06699065291874036,-0.0014395490307466598,195,SHORT
5,1,0.41025641025641024,NQ,Q5_strongest,60,0.12843683688378524,-0.005461947226498182,195,SHORT
1,3,0.5981012658227848,NQ,Q1_weakest,60,0.016107238142491445,0.002407245119279381,632,LONG
2,3,0.5664556962025317,NQ,Q2,60,0.04274124487186108,0.0015665981228088948,632,LONG
3,3,0.5955766192733017,NQ,Q3,60,0.0670289983951177,0.0021596856653869467,633,LONG
4,3,0.5490506329113924,NQ,Q4,60,0.09441263449774244,0.00010780510248460768,632,LONG
5,3,0.593996840442338,NQ,Q5_strongest,60,0.16751387171777976,0.001918058720718266,633,LONG
1,3,0.41237113402061853,NQ,Q1_weakest,60,0.006221922395775825,-0.0011381263065086162,194,SHORT
2,3,0.44329896907216493,NQ,Q2,60,0.019727558000882252,-0.0009164341658710309,194,SHORT
3,3,0.3711340206185567,NQ,Q3,60,0.038843417692060046,-0.00404908722910766,194,SHORT
4,3,0.3711340206185567,NQ,Q4,60,0.06707100583620958,-0.0065078383110242655,194,SHORT
5,3,0.358974358974359,NQ,Q5_strongest,60,0.12843683688378524,-0.011525961357148038,195,SHORT
1,5,0.5981012658227848,NQ,Q1_weakest,60,0.016107238142491445,0.0042708428496966554,632,LONG
2,5,0.5870253164556962,NQ,Q2,60,0.04274124487186108,0.002172204440226684,632,LONG
3,5,0.5987361769352291,NQ,Q3,60,0.0670289983951177,0.003043856481568822,633,LONG
4,5,0.5537974683544303,NQ,Q4,60,0.09441263449774244,0.0003596093459296775,632,LONG
5,5,0.6129541864139021,NQ,Q5_strongest,60,0.16751387171777976,0.0030915073682387774,633,LONG
