ambiguous,average_loss_points,average_win_points,config_hash,delay_minutes,entry_family,event_family,expectancy_points,expectancy_r,long_exp,long_n,long_wr,longest_losing_streak,losses,mae_mean,mae_n,max_drawdown_points,mfe_mean,mfe_n,pct_profitable_days,profit_factor,resolved_n,short_exp,short_n,short_wr,timed_exits,trades,trades_per_day,trading_days,win_rate,wins
0,53.322916666666664,62.01470588235294,7edd2b053e410a3c,5,B_FIRST_PULLBACK,CPI,-5.5,-0.17073170731707318,-20.804347826086957,23,0.391304347826087,6,24,-40.51829268292683,41,537.0,42.21951219512195,41,0.4146341463414634,0.8237937097089275,41,14.055555555555555,18,0.4444444444444444,0,41,1.0,41,0.4146341463414634,17
0,70.89285714285714,53.47115384615385,1be5a9ed5fe3c6ff,5,B_FIRST_PULLBACK,NFP,-2.095744680851064,0.0929624674258491,2.9913793103448274,29,0.6206896551724138,6,21,-48.361702127659576,47,654.75,43.72872340425532,47,0.5531914893617021,0.9338371116708648,47,-10.291666666666666,18,0.4444444444444444,2,47,1.0,47,0.5531914893617021,26
0,53.322916666666664,62.01470588235294,7891c34cf5e47e71,10,B_FIRST_PULLBACK,CPI,-5.5,-0.17073170731707318,-20.804347826086957,23,0.391304347826087,6,24,-40.51829268292683,41,537.0,42.21951219512195,41,0.4146341463414634,0.8237937097089275,41,14.055555555555555,18,0.4444444444444444,0,41,1.0,41,0.4146341463414634,17
0,70.89285714285714,53.47115384615385,b5da46858d009bfc,10,B_FIRST_PULLBACK,NFP,-2.095744680851064,0.0929624674258491,2.9913793103448274,29,0.6206896551724138,6,21,-48.361702127659576,47,654.75,43.72872340425532,47,0.5531914893617021,0.9338371116708648,47,-10.291666666666666,18,0.4444444444444444,2,47,1.0,47,0.5531914893617021,26
0,48.92045454545455,55.40909090909091,40ac1237dde763d0,15,B_FIRST_PULLBACK,CPI,3.2443181818181817,0.0,-14.25,26,0.4230769230769231,3,22,-33.42613636363637,44,441.0,41.15909090909091,44,0.5,1.1326364692218351,44,28.51388888888889,18,0.6111111111111112,0,44,1.0,44,0.5,22
0,63.205882352941174,48.4609375,3a94d51ad768ce7c,15,B_FIRST_PULLBACK,NFP,9.71938775510204,0.2840845199945724,8.158333333333333,30,0.7,3,17,-38.23979591836735,49,439.25,44.107142857142854,49,0.6530612244897959,1.4432294090274547,49,12.18421052631579,19,0.5789473684210527,4,49,1.0,49,0.6530612244897959,32
0,36.47115384615385,61.279411764705884,0c3d1b3e5554c768,30,B_FIRST_PULLBACK,CPI,2.1744186046511627,-0.18783542039355994,-5.336538461538462,26,0.38461538461538464,7,26,-35.06976744186046,43,351.0,38.616279069767444,43,0.3953488372093023,1.09860268916425,43,13.661764705882353,17,0.4117647058823529,1,43,1.0,43,0.3953488372093023,17
0,46.361111111111114,44.65625,b5fe530c8d311e1d,30,B_FIRST_PULLBACK,NFP,5.648809523809524,0.12400510961239247,8.038461538461538,26,0.6153846153846154,2,18,-37.023809523809526,42,151.75,34.74404761904762,42,0.5714285714285714,1.2843019772318753,42,1.765625,16,0.5,4,42,1.0,42,0.5714285714285714,24
0,40.35,59.464285714285715,d8142faae7f24227,60,B_FIRST_PULLBACK,CPI,10.774390243902438,0.03342998464949684,-2.09375,24,0.4583333333333333,4,20,-33.603658536585364,41,325.5,43.926829268292686,41,0.5121951219512195,1.5473977695167287,41,28.941176470588236,17,0.5882352941176471,2,41,1.0,41,0.5121951219512195,21
0,58.265625,58.595238095238095,ed7fa19bb7a97b18,60,B_FIRST_PULLBACK,NFP,8.06081081081081,0.12843443926603487,9.892857142857142,21,0.5714285714285714,4,16,-41.4054054054054,37,533.5,44.939189189189186,37,0.5675675675675675,1.3199249128452668,37,5.65625,16,0.5625,3,37,1.0,37,0.5675675675675675,21
0,,,f1e75fbbb56c724f,5,C_5M_CLOSE_CONFIRM,CPI,,,,0,,0,0,,0,0.0,,0,,,0,,0,,0,0,,0,,0
0,,,fe1c6069356bdfb9,5,C_5M_CLOSE_CONFIRM,NFP,,,,0,,0,0,,0,0.0,,0,,,0,,0,,0,0,,0,,0
0,109.96428571428571,121.68333333333334,37e2db61bfa2a161,10,C_5M_CLOSE_CONFIRM,CPI,-13.444444444444445,-0.2179056217434122,3.0357142857142856,21,0.42857142857142855,8,21,-90.94444444444444,36,1012.0,78.38888888888889,36,0.4166666666666667,0.790408141171376,36,-36.516666666666666,15,0.4,9,36,1.0,36,0.4166666666666667,15
0,95.359375,65.325,1e0dee6a216c1459,10,C_5M_CLOSE_CONFIRM,NFP,-33.55769230769231,-0.26716247275524624,-40.80555555555556,18,0.2777777777777778,4,16,-78.49038461538461,26,906.75,54.15384615384615,26,0.38461538461538464,0.4281500901196133,26,-17.25,8,0.625,3,26,1.0,26,0.38461538461538464,10
0,158.22058823529412,113.578125,d36832c1f8d2c8a6,15,C_5M_CLOSE_CONFIRM,CPI,-26.439393939393938,-0.11065998460190918,14.5,18,0.5555555555555556,5,17,-115.41666666666667,33,1208.25,85.16666666666667,33,0.48484848484848486,0.6756204108188494,33,-75.56666666666666,15,0.4,10,33,1.0,33,0.48484848484848486,16
0,99.51666666666667,72.63888888888889,6ce80fd7c2fbf4bb,15,C_5M_CLOSE_CONFIRM,NFP,-34.958333333333336,-0.25071945316162497,-38.61538461538461,13,0.3076923076923077,4,15,-87.05208333333333,24,870.25,59.635416666666664,24,0.375,0.4379500921118741,24,-30.636363636363637,11,0.45454545454545453,4,24,1.0,24,0.375,9
0,117.72619047619048,117.01666666666667,56892ef6a4e3ec7d,30,C_5M_CLOSE_CONFIRM,CPI,-19.916666666666668,-0.21749131510832273,-17.2,20,0.4,4,21,-104.02777777777777,36,1110.5,81.20138888888889,36,0.4166666666666667,0.7099807867327333,36,-23.3125,16,0.4375,9,36,1.0,36,0.4166666666666667,15
0,119.5657894736842,89.80555555555556,cf624021a0242921,30,C_5M_CLOSE_CONFIRM,NFP,-52.267857142857146,-0.33052577169484015,-54.416666666666664,15,0.3333333333333333,3,19,-101.26785714285714,28,1463.5,51.419642857142854,28,0.32142857142857145,0.3557829866842742,28,-49.78846153846154,13,0.3076923076923077,3,28,1.0,28,0.32142857142857145,9
0,152.0,104.82142857142857,dbd16c8fea7f2b8e,60,C_5M_CLOSE_CONFIRM,CPI,-28.017241379310345,-0.19827300315811208,4.75,16,0.625,3,15,-123.49137931034483,29,932.25,92.11206896551724,29,0.4827586206896552,0.643640350877193,29,-68.34615384615384,13,0.3076923076923077,11,29,1.0,29,0.4827586206896552,14
0,111.95,76.52272727272727,2f468bd992e6794d,60,C_5M_CLOSE_CONFIRM,NFP,-32.21153846153846,-0.19408216383792368,-43.890625,16,0.4375,3,15,-87.67307692307692,26,982.5,54.83653846153846,26,0.4230769230769231,0.501265445883579,26,-13.525,10,0.4,3,26,1.0,26,0.4230769230769231,11
0,,,55e7f9f49a56e6c9,5,D_CASH_OPEN,CPI,,,,0,,0,0,,0,0.0,,0,,,0,,0,,0,0,,0,,0
0,,,19d70b3793fe6813,5,D_CASH_OPEN,NFP,,,,0,,0,0,,0,0.0,,0,,,0,,0,,0,0,,0,,0
0,,,bd0319226e65c373,10,D_CASH_OPEN,CPI,,,,0,,0,0,,0,0.0,,0,,,0,,0,,0,0,,0,,0
0,,,e19528f8389fa94e,10,D_CASH_OPEN,NFP,,,,0,,0,0,,0,0.0,,0,,,0,,0,,0,0,,0,,0
0,,,365adf7e63bbf243,15,D_CASH_OPEN,CPI,,,,0,,0,0,,0,0.0,,0,,,0,,0,,0,0,,0,,0
0,,,61029993b9d7827b,15,D_CASH_OPEN,NFP,,,,0,,0,0,,0,0.0,,0,,,0,,0,,0,0,,0,,0
0,,,f273fe81e3caec47,30,D_CASH_OPEN,CPI,,,,0,,0,0,,0,0.0,,0,,,0,,0,,0,0,,0,,0
0,,,0e6d4e68d977dc58,30,D_CASH_OPEN,NFP,,,,0,,0,0,,0,0.0,,0,,,0,,0,,0,0,,0,,0
0,,,9f4b8ec42ae6717c,60,D_CASH_OPEN,CPI,,,,0,,0,0,,0,0.0,,0,,,0,,0,,0,0,,0,,0
0,,,e89a95b4ff106419,60,D_CASH_OPEN,NFP,,,,0,,0,0,,0,0.0,,0,,,0,,0,,0,0,,0,,0
