age_bucket,close_with_trend,continue_extreme,depth_bucket,htf_age,htf_return,htf_strength,mae_after_tag,mfe_after_tag,retracement,side,tag_hhmm,trading_date,year
new_1,True,True,deep,1,0.0022939158616916977,weak,11.75,189.75,0.6625386996904025,BULLISH,11:55,2023-03-02,2023
new_1,True,False,shallow,1,0.00624524929638226,medium,93.25,10.25,0.296028880866426,BULLISH,12:00,2023-03-08,2023
new_1,False,True,deep,1,0.004324366441358141,medium,156.25,141.25,0.6325301204819277,BULLISH,09:55,2023-03-23,2023
new_1,True,True,deep,1,-0.005124238615488719,medium,6.75,97.0,0.6584362139917695,BEARISH,10:55,2023-03-27,2023
new_1,True,True,shallow,1,-0.005718762240501385,medium,39.5,57.75,0.3877005347593583,BEARISH,09:55,2023-03-28,2023
new_1,True,True,deep,1,0.0049408652349829385,medium,61.0,78.5,0.7116564417177914,BULLISH,09:55,2023-03-29,2023
new_1,True,True,shallow,1,0.004548581912697802,medium,10.25,163.75,0.2661290322580645,BULLISH,09:55,2023-03-31,2023
new_1,False,True,medium,1,-0.0031201543058129166,weak,87.75,25.25,0.5923076923076923,BEARISH,10:55,2023-04-03,2023
new_1,True,True,medium,1,-0.003999166050681402,weak,27.5,131.5,0.4790697674418605,BEARISH,09:55,2023-04-05,2023
new_1,False,True,medium,1,-0.0036399484340639,weak,53.0,62.25,0.5833333333333334,BEARISH,10:55,2023-04-17,2023
new_1,True,True,medium,1,-0.004171392322331324,medium,24.0,135.5,0.45493562231759654,BEARISH,10:55,2023-04-25,2023
new_1,False,True,medium,1,0.007232326365998354,medium,123.0,25.5,0.42162162162162165,BULLISH,11:55,2023-04-26,2023
new_1,True,True,deep,1,0.005232822690732553,medium,19.25,52.5,0.718213058419244,BULLISH,11:55,2023-04-28,2023
new_1,True,True,shallow,1,0.0032322321193671844,weak,58.75,19.25,0.29333333333333333,BULLISH,13:15,2023-05-01,2023
new_1,True,False,shallow,1,-0.012399023107270368,strong,69.5,38.0,0.26474442988204455,BEARISH,11:45,2023-05-02,2023
