fwd,hit_rate,hit_wilson_hi,hit_wilson_lo,instrument,lookback,mean,mean_block_boot_hi,mean_block_boot_lo,mean_boot_hi,mean_boot_lo,median,n,note,side,spearman_abs_signal_vs_signed_fwd,tstat_iid
5,0.36945304437564497,0.40030299998076346,0.3396341079718569,NQ,60,-0.008332955703746188,-0.004556229107450391,-0.011910618018683771,-0.006217608051942877,-0.010099143067971652,-0.010126116174169031,969,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.1353838289170998,-7.714958869351188
10,0.6223908918406073,0.6391304889797724,0.605354263510687,NQ,60,0.00545217137767193,0.008003456791300602,0.002442193942402631,0.006552233339085656,0.004257525589811165,0.008421834575329634,3162,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,-0.053197661445168826,9.615495807745829
10,0.31950207468879666,0.3496040288448124,0.2908330013469049,NQ,60,-0.015374047379547532,-0.008569058654363785,-0.02244923698918045,-0.01240663351761477,-0.017909279143008966,-0.01812492128583032,964,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.12188455269229993,-11.055061025409495
1,0.516157591854803,0.5367209273799229,0.4955393952162324,GC,5,0.00035282917424549003,0.0007659609147839437,-4.007712423879733e-05,0.0007483693322651963,-8.804367711623755e-05,0.00038411308289165724,2259,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,-0.02919024234250707,1.62199641774442
1,0.4821520951888257,0.5044412199721447,0.4599337707343745,GC,5,-0.00015710870822433745,0.0002121460934595924,-0.0006339233390997721,0.00029783155695462,-0.0006758463506952858,-0.0003610434154706077,1933,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.03961083247539877,-0.6520600417425886
3,0.5303500221533008,0.5508711291296512,0.5097257742535845,GC,5,0.0009079087461263423,0.0018564680454490148,-8.112153477522484e-06,0.001681077801495405,0.00026088300481096174,0.0012150668286758926,2257,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,-0.031649894193113565,2.4855210330294644
3,0.4826694257630626,0.504958333849421,0.46044926582212675,GC,5,-0.0006278822535891028,0.0003764761853404461,-0.0017664659198769973,0.00022062913106966797,-0.0015259688002249262,-0.0005351528530335159,1933,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.025804789482530878,-1.5129874694693304
5,0.5441241685144124,0.5645885561423527,0.5235096974049522,GC,5,0.00169662554047293,0.003222307065729144,0.0003016959343224097,0.0027235153550431933,0.0007769848737531251,0.002300931688732799,2255,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,-0.023255977993292643,3.6146610171936966
5,0.4671495085359545,0.48943453567308487,0.44499479504761014,GC,5,-0.0008042200485035739,0.0009854493641188876,-0.002505790431496057,0.00016594290004045363,-0.001929475314568771,-0.0013939048343152294,1933,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.059010962910976246,-1.5328943174029974
10,0.5370946246112839,0.5576126697355237,0.5164501823956416,GC,5,0.003058610207677107,0.0058779918867435145,0.0004904228642756835,0.004355690777300801,0.001779563591072675,0.0023920956838276997,2251,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,-0.003784654621646825,4.6217520224385265
10,0.4663561076604555,0.48864613061217016,0.4441996146182248,GC,5,-0.0018329278246082949,0.0010830851715281473,-0.004695385708307556,-0.0005695699211392221,-0.003386447265122404,-0.002395327278108428,1932,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.05270378171759832,-2.582319726145134
1,0.5042353990191708,0.5249021469773186,0.48355416787816574,GC,10,0.00019964923214711228,0.0005697072999344456,-0.00017881491834471352,0.0006769476456900311,-0.00029367021032041424,0.00014316392269142497,2243,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,0.017947347598655593,0.9137972510788391
1,0.4675925925925926,0.48981483196123793,0.4454981832243911,GC,10,-0.0003290767533646449,0.00020047510897318275,-0.0008713896189881848,0.0001475973302730569,-0.0008339003532197481,-0.0005519450461638487,1944,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.030641635304332348,-1.3710536922434065
3,0.5100401606425703,0.5307027534194113,0.4893432043889258,GC,10,0.0006569361439427405,0.0015260627540682901,-0.0003940219097149514,0.001375838617812482,-9.364548806357084e-05,0.0004419694157165033,2241,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,0.038251632371902586,1.8129116888188037
3,0.4588477366255144,0.4810586333754031,0.43679916368571314,GC,10,-0.000908936202989594,0.0002626678800926487,-0.0021690255398029742,-3.7893646971960664e-06,-0.0017694009019768454,-0.0011118305581510057,1944,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.016008424489769652,-2.1703938301697687
5,0.5337204108977222,0.5543087798675395,0.5130165274568832,GC,10,0.0014195511156700129,0.0029039253190692653,-5.332382081233482e-05,0.0022256697689573457,0.0004787456828796986,0.0017832054468822633,2239,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,0.04345922356012944,3.039660794689346
5,0.45524691358024694,0.4774511509344128,0.4332192033695511,GC,10,-0.0011220029078354331,0.000651365385245096,-0.002787258153463673,5.62661452866074e-05,-0.0021316523957570672,-0.002006316740595593,1944,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.035546634664634376,-2.122592429792583
10,0.526386404293381,0.5470193550280483,0.5056629417915125,GC,10,0.0023417496508534486,0.005403833772401812,-0.0011189427988295756,0.0035910565062396162,0.0009935538897351502,0.0016800238767109565,2236,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,0.02589311761172328,3.5150734596502975
10,0.45417095777548916,0.47638443332173275,0.4321384392491897,GC,10,-0.0026960728418543214,2.2191555145584885e-05,-0.005690960362967956,-0.001226808924124421,-0.004027872778509676,-0.002823819830158003,1942,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.05967866329061313,-3.819664963776942
1,0.5147258722247394,0.5355336363295844,0.49386693221408695,GC,20,0.00026685447571902094,0.0007380550180704521,-0.00014993023676445895,0.0006930505449143676,-0.0001533199685100929,0.0003247174957787813,2207,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,0.003886500969846589,1.184690544225315
