event_id,first_z,max_abs_z,reclaim,side,trading_date
2025-10-29|below|1761742800,-2.4213251953443913,2.4213251953443913,True,below,2025-10-29
2025-10-29|below|1761752700,-2.4000425289948115,2.576145119490381,True,below,2025-10-29
2025-10-30|below|1761828900,-2.39444637157138,2.39444637157138,True,below,2025-10-30
2025-10-30|above|1761832200,2.9079668059389614,2.9079668059389614,True,above,2025-10-30
2025-10-31|below|1761926400,-2.692015158925758,3.1727593259681184,True,below,2025-10-31
2025-11-03|below|1762178700,-2.2656349833240097,2.2656349833240097,True,below,2025-11-03
2025-11-03|below|1762179900,-3.633671802361931,3.633671802361931,True,below,2025-11-03
2025-11-03|above|1762181400,2.1743702114299746,2.1743702114299746,True,above,2025-11-03
2025-11-03|below|1762186500,-2.35490713294968,2.35490713294968,True,below,2025-11-03
2025-11-04|below|1762266300,-2.326090616058626,2.326090616058626,True,below,2025-11-04
2025-11-05|above|1762350600,2.9934158040413164,2.9934158040413164,True,above,2025-11-05
2025-11-05|above|1762351800,2.2975259693037167,2.4554283125665433,True,above,2025-11-05
2025-11-05|above|1762361100,2.0829344866964346,2.0829344866964346,True,above,2025-11-05
2025-11-06|above|1762436700,2.2552570130202483,2.2552570130202483,True,above,2025-11-06
2025-11-06|below|1762437300,-2.5265911173297653,3.0870036376582752,True,below,2025-11-06
2025-11-06|below|1762438500,-2.047848312676467,2.047848312676467,True,below,2025-11-06
2025-11-07|above|1762524600,2.043312564946873,2.432445341228317,True,above,2025-11-07
2025-11-07|below|1762526100,-2.0144407045971313,2.0144407045971313,True,below,2025-11-07
2025-11-07|above|1762532400,2.2979389549597213,2.9487600914790297,True,above,2025-11-07
2025-11-11|below|1762869600,-2.5204359396904565,2.5204359396904565,True,below,2025-11-11
2025-11-11|below|1762870500,-2.2990532417622185,2.2990532417622185,True,below,2025-11-11
2025-11-12|below|1762955400,-3.2361394297697514,3.2361394297697514,True,below,2025-11-12
2025-11-12|above|1762956000,2.819743012623644,2.819743012623644,True,above,2025-11-12
2025-11-12|above|1762959000,2.1140281664908835,2.1140281664908835,True,above,2025-11-12
2025-11-12|above|1762959600,2.294413596970295,2.294413596970295,True,above,2025-11-12
2025-11-13|below|1763044800,-2.2394310975216167,2.2394310975216167,True,below,2025-11-13
2025-11-14|above|1763132100,2.565642624367381,2.565642624367381,True,above,2025-11-14
2025-11-14|above|1763135100,2.470180981717532,2.470180981717532,True,above,2025-11-14
2025-11-14|above|1763136900,2.256062607384401,2.452138910879601,True,above,2025-11-14
2025-11-17|below|1763395200,-2.5634997321217603,2.5634997321217603,True,below,2025-11-17
2025-11-18|below|1763481600,-2.143053461373163,2.143053461373163,True,below,2025-11-18
2025-11-19|above|1763561400,2.133008298936702,2.133008298936702,True,above,2025-11-19
2025-11-19|above|1763564100,2.6113986469298047,2.6113986469298047,True,above,2025-11-19
2025-11-19|below|1763567400,-2.534599362543604,2.534599362543604,True,below,2025-11-19
2025-11-19|below|1763568900,-2.123314073734297,2.123314073734297,True,below,2025-11-19
2025-11-19|below|1763569500,-2.2393248095354794,2.2393248095354794,True,below,2025-11-19
2025-11-19|below|1763571600,-2.186594649752337,2.186594649752337,True,below,2025-11-19
2025-11-20|above|1763649900,3.2947728118397825,3.2947728118397825,True,above,2025-11-20
2025-11-20|below|1763654100,-2.2419244187858554,2.2419244187858554,True,below,2025-11-20
2025-11-20|below|1763655900,-2.475792715511354,2.627367767571141,True,below,2025-11-20
2025-11-21|above|1763743200,2.081836983201617,3.0109624415365346,True,above,2025-11-21
2025-11-24|below|1763991900,-2.0343328436590165,2.0343328436590165,True,below,2025-11-24
2025-11-24|below|1763994900,-2.07682053796877,2.07682053796877,True,below,2025-11-24
2025-11-24|above|1763996700,2.2966017529075673,2.2966017529075673,True,above,2025-11-24
2025-11-25|below|1764080700,-2.1317304514546813,2.1317304514546813,True,below,2025-11-25
2025-11-25|below|1764081300,-2.045903140622359,2.045903140622359,True,below,2025-11-25
2025-11-25|above|1764091800,2.134792746667546,2.134792746667546,True,above,2025-11-25
2025-11-26|below|1764165900,-2.260626672443762,2.260626672443762,True,below,2025-11-26
2025-12-01|below|1764597300,-2.4774083735659986,2.4774083735659986,True,below,2025-12-01
2025-12-02|above|1764683400,2.674120661632549,2.8128829985619057,True,above,2025-12-02
2025-12-02|below|1764688500,-2.2017946725663133,2.2017946725663133,True,below,2025-12-02
2025-12-02|below|1764690600,-2.220552026102339,2.220552026102339,True,below,2025-12-02
2025-12-03|above|1764769500,2.5282127782343453,2.5282127782343453,True,above,2025-12-03
2025-12-03|below|1764773400,-2.435770521967091,2.435770521967091,True,below,2025-12-03
2025-12-03|below|1764780600,-2.1533013203317113,2.3465637833531163,True,below,2025-12-03
2025-12-04|above|1764856500,3.242688989164666,3.242688989164666,True,above,2025-12-04
2025-12-04|above|1764864300,2.0846979074576684,2.0846979074576684,True,above,2025-12-04
2025-12-04|above|1764864900,2.043679048989735,2.043679048989735,True,above,2025-12-04
2025-12-05|above|1764945900,2.63647523400865,2.63647523400865,True,above,2025-12-05
2025-12-05|above|1764948300,2.2038206973749506,2.5559624893438206,True,above,2025-12-05
2025-12-05|below|1764951000,-2.6113914670767144,2.6113914670767144,True,below,2025-12-05
2025-12-08|above|1765203000,2.5033929584451307,2.5033929584451307,True,above,2025-12-08
