entry_mode,execution_timeframe,feed_equivalence_class,outcome,session,setup_id,status,underlying_provider
first_touch,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-05-31|low|1780300500|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-05-31|low|1780300500|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-05-31|low|1780300500|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-06-01|low|1780335600|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-06-01|low|1780335600|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,AMBIGUOUS_INTRABAR,London,OANDA:XAUUSD|London|2026-06-01|low|1780335600|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-01|high|1780384800|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-01|high|1780384800|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-01|high|1780384800|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-02|low|1780471800|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-02|low|1780471800|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-02|low|1780471800|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-06-03|low|1780494600|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-06-03|low|1780494600|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-06-03|low|1780494600|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-03|high|1780583700|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-03|high|1780583700|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-03|high|1780583700|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-06-04|high|1780580400|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-06-04|high|1780580400|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-06-04|high|1780580400|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-04|high|1780660800|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-04|high|1780660800|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-04|high|1780660800|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,London,OANDA:XAUUSD|London|2026-06-05|low|1780662600|exec:5m,INVALIDATED,tiingo
boundary,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,London,OANDA:XAUUSD|London|2026-06-05|low|1780662600|exec:5m,INVALIDATED,tiingo
ce,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,London,OANDA:XAUUSD|London|2026-06-05|low|1780662600|exec:5m,INVALIDATED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-07|high|1781012700|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-07|high|1781012700|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-07|high|1781012700|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-06-08|high|1780922700|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-06-08|high|1780922700|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-06-08|high|1780922700|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-08|high|1781013000|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-08|high|1781013000|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-08|high|1781013000|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-06-09|high|1781009100|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-06-09|high|1781009100|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-06-09|high|1781009100|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-06-09|low|1781079300|exec:5m,INVALIDATED,tiingo
boundary,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-06-09|low|1781079300|exec:5m,INVALIDATED,tiingo
ce,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-06-09|low|1781079300|exec:5m,INVALIDATED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,London,OANDA:XAUUSD|London|2026-06-10|low|1781108100|exec:5m,INVALIDATED,tiingo
boundary,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,London,OANDA:XAUUSD|London|2026-06-10|low|1781108100|exec:5m,INVALIDATED,tiingo
ce,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,London,OANDA:XAUUSD|London|2026-06-10|low|1781108100|exec:5m,INVALIDATED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-10|high|1782190500|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-10|high|1782190500|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-10|high|1782190500|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-06-11|low|1781181000|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-06-11|low|1781181000|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-06-11|low|1781181000|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-11|low|1781249400|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-11|low|1781249400|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-11|low|1781249400|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-06-12|high|1781277900|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-06-12|high|1781277900|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-06-12|high|1781277900|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-14|high|1781513700|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-14|high|1781513700|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-14|high|1781513700|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,London,OANDA:XAUUSD|London|2026-06-15|high|1781527800|exec:5m,INVALIDATED,tiingo
boundary,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,London,OANDA:XAUUSD|London|2026-06-15|high|1781527800|exec:5m,INVALIDATED,tiingo
ce,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,London,OANDA:XAUUSD|London|2026-06-15|high|1781527800|exec:5m,INVALIDATED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-06-15|high|1781596200|exec:5m,INVALIDATED,tiingo
boundary,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-06-15|high|1781596200|exec:5m,INVALIDATED,tiingo
ce,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-06-15|high|1781596200|exec:5m,INVALIDATED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-06-16|high|1781613900|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-06-16|high|1781613900|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-06-16|high|1781613900|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-16|low|1781685900|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-16|low|1781685900|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-16|low|1781685900|exec:5m,EXPIRED,tiingo
