age_1h,aligned_1h_4h,close_with_1h,close_with_4h,ema20_rising,gap,gap_over_atr,prior_ret,ret_1h,ret_4h,rth_close,rth_high,rth_low,rth_open,rth_return,strength_1h,structure_1h,trading_date,trend_1h,trend_4h,year
0,False,,,True,39.5,0.8029038112522686,-17.25,0.001986837203526548,-0.001859043212426692,6062.0,6068.5,6049.75,6055.25,0.0011147351471862965,weak,HH_HL,2024-12-02,NEUTRAL,NEUTRAL,2024
0,False,,,False,-3.5,-0.07294380349832527,6.75,-0.0005771291944924872,-0.0004123371268348608,6062.75,6066.0,6047.5,6058.5,0.0007014937690847933,weak,MIXED,2024-12-03,NEUTRAL,NEUTRAL,2024
0,False,,,True,17.25,0.36674259681093396,4.25,0.001234110823151946,0.0019367865826018793,6099.0,6102.25,6072.5,6080.0,0.0031250000000000444,weak,HH_HL,2024-12-04,NEUTRAL,NEUTRAL,2024
0,False,,,True,-0.25,-0.0054815974941268605,19.0,8.202772537124758e-05,-0.00020506931342789692,6088.75,6107.25,6085.5,6098.75,-0.0016396802623488416,weak,MIXED,2024-12-05,NEUTRAL,NEUTRAL,2024
0,False,,,True,5.75,0.13052290231049857,-10.0,0.0016023665721680569,-0.0008215914225855325,6098.5,6111.0,6090.0,6094.5,0.000656329477397577,weak,MIXED,2024-12-06,NEUTRAL,NEUTRAL,2024
0,False,,,False,-2.5,-0.05972696245733789,4.0,8.202099737530943e-05,-0.0005330708984294663,6065.75,6097.75,6060.0,6096.0,-0.004962270341207331,weak,MIXED,2024-12-09,NEUTRAL,NEUTRAL,2024
0,False,,,False,6.0,0.15033557046979867,-30.25,0.0010726072607261106,0.0004947841504143735,6047.5,6075.25,6039.75,6071.75,-0.003993906204965647,weak,MIXED,2024-12-10,NEUTRAL,NEUTRAL,2024
1,False,True,,True,28.0,0.709502262443439,-24.25,0.0031810294968188657,-0.0002891247779934769,6092.25,6102.5,6072.5,6075.5,0.00275697473458969,weak,MIXED,2024-12-11,BULLISH,NEUTRAL,2024
0,False,,,False,-10.0,-0.27383863080684595,16.75,-0.0006165988407941247,-0.0006981806234341859,6059.75,6087.75,6059.5,6082.25,-0.0036992889144642493,weak,MIXED,2024-12-12,NEUTRAL,NEUTRAL,2024
0,False,,False,True,17.5,0.5138961719979024,-22.5,0.0004523584323723462,0.0035898493913761875,6055.75,6084.75,6041.25,6077.25,-0.0035377843597022007,weak,HH_HL,2024-12-13,NEUTRAL,BULLISH,2024
