candidate,direction,entry_fill,entry_theo,entry_ts,exit_px,exit_ts,extras,hold_sec,instrument,mae_points,mfe_points,open_class,outcome,poc,points,points_after_cost,r_after_cost,r_multiple,risk_points,signal_hhmm,status,stop,target,target_name,trading_date,vah,val,year
VP_INSIDE_ROTATE_POC,LONG,2786.5,2786.25,1589463000,2785.75,1589463000,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",0,ES,2.0,2.75,OPEN_INSIDE_VALUE,STOP_HIT,2810.5,-0.75,-0.83,-1.1066666666666667,-1.0,0.75,09:30,ENTERED,2785.75,2810.5,POC,2020-05-14,2836.0,2786.0,2020
VP_INSIDE_ROTATE_POC,SHORT,2820.25,2820.5,1589549400,2831.25,1589550240,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",840,ES,12.25,11.0,OPEN_INSIDE_VALUE,STOP_HIT,2797.25,-11.0,-11.08,-1.0072727272727273,-1.0,11.0,09:30,ENTERED,2831.25,2797.25,POC,2020-05-15,2831.0,2778.75,2020
VP_INSIDE_ROTATE_POC,LONG,2964.5,2964.25,1590067800,2959.25,1590067980,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",180,ES,5.25,1.25,OPEN_INSIDE_VALUE,STOP_HIT,2967.5,-5.25,-5.33,-1.0152380952380953,-1.0,5.25,09:30,ENTERED,2959.25,2967.5,POC,2020-05-21,2969.5,2959.5,2020
VP_INSIDE_ROTATE_POC,LONG,2942.0,2941.75,1590154200,2941.25,1590154200,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",0,ES,1.25,2.75,OPEN_INSIDE_VALUE,STOP_HIT,2947.75,-0.75,-0.83,-1.1066666666666667,-1.0,0.75,09:30,ENTERED,2941.25,2947.75,POC,2020-05-22,2956.5,2941.5,2020
VP_INSIDE_ROTATE_POC,LONG,3108.0,3107.75,1591277400,3113.25,1591278600,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",1200,ES,1.25,8.5,OPEN_INSIDE_VALUE,TARGET_HIT,3113.25,5.25,5.17,1.1488888888888888,1.1666666666666667,4.5,09:30,ENTERED,3103.5,3113.25,POC,2020-06-04,3120.75,3103.75,2020
VP_INSIDE_ROTATE_POC,SHORT,3199.5,3199.75,1591623000,3199.25,1591623000,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",0,ES,2.75,1.0,OPEN_INSIDE_VALUE,TARGET_HIT,3199.25,0.25,0.16999999999999998,0.033999999999999996,0.05,5.0,09:30,ENTERED,3204.5,3199.25,POC,2020-06-08,3204.25,3181.5,2020
VP_INSIDE_ROTATE_POC,LONG,3200.5,3200.25,1591709400,3193.75,1591709520,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",120,ES,6.5,1.5,OPEN_INSIDE_VALUE,STOP_HIT,3205.25,-6.75,-6.83,-1.0118518518518518,-1.0,6.75,09:30,ENTERED,3193.75,3205.25,POC,2020-06-09,3214.5,3194.0,2020
VP_INSIDE_ROTATE_POC,SHORT,3211.5,3211.75,1591795800,3214.75,1591795920,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",120,ES,3.75,2.25,OPEN_INSIDE_VALUE,STOP_HIT,3209.25,-3.25,-3.33,-1.0246153846153847,-1.0,3.25,09:30,ENTERED,3214.75,3209.25,POC,2020-06-10,3214.5,3199.0,2020
VP_INSIDE_ROTATE_POC,SHORT,3079.25,3079.5,1591968600,3082.25,1591969200,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",600,ES,7.0,12.0,OPEN_INSIDE_VALUE,STOP_HIT,3004.0,-3.0,-3.08,-1.0266666666666666,-1.0,3.0,09:30,ENTERED,3082.25,3004.0,POC,2020-06-12,3082.0,2998.0,2020
VP_INSIDE_ROTATE_POC,SHORT,3127.0,3127.25,1592400600,3118.75,1592400960,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",360,ES,1.25,9.5,OPEN_INSIDE_VALUE,TARGET_HIT,3118.75,8.25,8.17,0.6953191489361702,0.7021276595744681,11.75,09:30,ENTERED,3138.75,3118.75,POC,2020-06-17,3138.5,3108.75,2020
VP_INSIDE_ROTATE_POC,LONG,3079.25,3079.0,1592832600,3071.25,1592832840,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",240,ES,9.5,3.5,OPEN_INSIDE_VALUE,STOP_HIT,3091.75,-8.0,-8.08,-1.01,-1.0,8.0,09:30,ENTERED,3071.25,3091.75,POC,2020-06-22,3120.0,3071.5,2020
VP_INSIDE_ROTATE_POC,LONG,3034.25,3034.0,1593091800,3021.5,1593092460,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",660,ES,14.0,3.25,OPEN_INSIDE_VALUE,STOP_HIT,3039.5,-12.75,-12.83,-1.0062745098039216,-1.0,12.75,09:30,ENTERED,3021.5,3039.5,POC,2020-06-25,3062.5,3021.75,2020
VP_INSIDE_ROTATE_POC,LONG,3013.5,3013.25,1593437400,2998.75,1593437880,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",480,ES,15.5,3.25,OPEN_INSIDE_VALUE,STOP_HIT,3017.0,-14.75,-14.83,-1.0054237288135592,-1.0,14.75,09:30,ENTERED,2998.75,3017.0,POC,2020-06-29,3024.0,2999.0,2020
