accept_1m,accept_5m,accept_two_1m,close_vs_value,continue_away,enter_value,first_exit_side,gap,gap_over_atr,inside_closes,instrument,mae_into,mfe_away,open,open_above_poc,open_below_poc,open_class,overnight_inside_value,poc,poc_in_range,prior_date,reject_1m,return_vah,return_val,tod_first_value_int,touch_poc,trading_date,traverse_full_value,ts_accept_1m,ts_poc,ts_vah,ts_val,vah,val,vol_above_poc,width,width_over_atr,width_over_range,year
True,True,True,CLOSE_INSIDE_VALUE,False,True,,-6.5,-0.15895196506550216,70,ES,-13.25,11.25,4513.0,False,True,OPEN_BELOW_VAL,True,4523.75,0.5,2023-11-15,True,False,True,0930_1000,True,2023-11-16,False,1700145900,1700146440,,1700145240,4528.0,4517.75,0.4654116867121945,10.25,0.25065502183406113,0.3942307692307692,2023
True,True,True,CLOSE_ABOVE_VAH,False,True,,-0.75,-0.01935483870967742,125,ES,-9.5,12.25,4522.25,True,False,OPEN_ABOVE_VAH,True,4515.25,0.5510204081632653,2023-11-16,True,True,False,0930_1000,True,2023-11-17,False,1700231580,1700232060,1700231520,,4520.75,4509.0,0.4271264405546787,11.75,0.3032258064516129,0.47959183673469385,2023
True,False,False,CLOSE_ABOVE_VAH,False,True,VAH,-3.75,-0.10120481927710843,1,ES,0.0,0.0,4524.5,True,False,OPEN_INSIDE_VALUE,True,4518.5,0.26436781609195403,2023-11-17,False,True,False,0930_1000,False,2023-11-20,False,1700490600,,1700490600,,4527.25,4517.0,0.8096137285184563,10.25,0.2766265060240964,0.47126436781609193,2023
True,True,True,CLOSE_ABOVE_VAH,False,True,,-12.25,-0.328544061302682,385,ES,0.0,0.0,4550.0,True,False,OPEN_INSIDE_VALUE,True,4546.25,0.46774193548387094,2023-11-20,False,False,False,0930_1000,True,2023-11-21,False,1700577000,1700577900,,,4559.75,4529.25,0.6165812911894584,30.5,0.8180076628352491,0.6559139784946236,2023
False,False,False,CLOSE_INSIDE_VALUE,True,False,,15.5,0.44308320571720267,0,ES,-11.5,14.0,4566.5,True,False,OPEN_ABOVE_VAH,True,4548.75,0.6470588235294118,2023-11-21,False,False,False,0930_1000,False,2023-11-22,False,,,,,4552.75,4546.0,0.44320469946623864,6.75,0.19295558958652376,0.39705882352941174,2023
True,True,True,CLOSE_INSIDE_VALUE,False,True,,-5.5,-0.163395225464191,285,ES,-8.75,5.75,4561.25,False,True,OPEN_BELOW_VAL,True,4568.5,0.5294117647058824,2023-11-22,False,False,True,0930_1000,True,2023-11-27,False,1701095400,1701104160,,1701095400,4572.5,4562.0,0.38134152683262434,10.5,0.3119363395225464,0.4117647058823529,2023
True,True,True,CLOSE_INSIDE_VALUE,False,True,,-5.0,-0.15478164731896074,130,ES,-22.0,6.0,4555.25,False,True,OPEN_BELOW_VAL,True,4564.0,0.5862068965517241,2023-11-27,True,True,True,1000_1130,True,2023-11-28,True,1701186000,1701186060,1701186180,1701185940,4566.75,4559.75,0.34624167046763676,7.0,0.21669430624654504,0.4827586206896552,2023
True,True,True,CLOSE_INSIDE_VALUE,False,True,,22.0,0.676923076923077,65,ES,-29.75,11.75,4585.25,True,False,OPEN_ABOVE_VAH,True,4564.75,0.5535714285714286,2023-11-28,True,True,False,1000_1130,True,2023-11-29,False,1701274620,1701275340,1701274620,,4566.25,4553.5,0.26980564779979926,12.75,0.3923076923076923,0.45535714285714285,2023
True,True,True,CLOSE_BELOW_VAL,False,True,VAL,6.25,0.18796992481203006,28,ES,0.0,0.0,4566.25,False,True,OPEN_INSIDE_VALUE,True,4575.75,0.4879518072289157,2023-11-29,False,False,True,0930_1000,False,2023-11-30,False,1701354600,,,1701354600,4589.75,4563.25,0.4188991998788787,26.5,0.7969924812030075,0.6385542168674698,2023
True,False,False,CLOSE_ABOVE_VAH,False,True,,-6.0,-0.17967914438502672,1,ES,-6.25,39.0,4568.75,True,False,OPEN_ABOVE_VAH,True,4555.25,0.302158273381295,2023-11-30,True,True,False,0930_1000,False,2023-12-01,False,1701441120,,1701441120,,4564.0,4550.5,0.6245275902154781,13.5,0.4042780748663101,0.38848920863309355,2023
